word,cluster
на,222
и,83
во,77
сум,83
за,83
да,83
од,274
себе,83
со,83
тој,83
кој,83
ќе,83
тие,83
не,83
таа,83
а,83
ако,83
што,83
2015,222
дека,83
close,334
connection,334
net,334
gmt,334
oct,334
date,334
како,83
има,83
овој,83
може,71
година,101
многу,83
вие,71
тоа,83
биде,83
по,344
еден,83
нов,104
до,217
16,222
или,69
свој,191
1,217
голем,365
content,334
2,87
length,334
сиот,83
јас,55
нема,125
ден,223
3,87
17,222
сака,94
ваш,71
дел,223
кога,7
Македонија,316
fri,334
5,87
треба,83
време,344
но,6
без,205
само,83
пред,122
4,87
некој,83
ти,55
добар,365
друг,83
10,222
прв,370
работа,5
12,222
18,222
20,222
наш,338
би,83
човек,191
19,222
бидејќи,83
уште,83
свет,377
секој,71
sat,334
направи,374
тогаш,7
негов,191
цел,71
ние,257
15,222
6,87
кај,33
два,251
11,222
оној,191
автомобил,322
број,274
македонски,362
па,55
мој,223
така,166
место,365
Скопје,254
дали,31
00,223
дете,304
знае,55
7,87
13,222
14,222
живот,129
кон,118
пат,112
21,222
земја,287
нивен,133
мал,80
преку,63
нешто,83
веќе,83
8,87
каде,33
види,55
добие,127
производ,261
страна,288
2014,379
час,243
0,266
прави,205
22,222
малку,179
ист,103
при,14
mk,298
сега,43
30,222
користи,384
компанија,196
лице,349
апликација,317
проблем,204
by,92
видео,286
x,151
9,217
ама,55
начин,71
жена,236
вели,31
помош,238
неколку,7
страница,67
град,59
работи,5
месец,101
мора,58
околу,139
додека,83
бара,259
игра,311
sun,334
систем,296
избор,343
23,222
вода,332
против,78
одлука,342
2013,379
втор,370
љубов,105
сам,58
добро,83
поради,205
светски,283
колку,123
google,180
цена,347
информација,355
последен,263
ни,376
член,342
потребен,313
под,156
милион,154
познат,385
mon,334
висок,161
американски,269
стане,248
тим,94
октомври,266
тело,346
рече,15
според,361
пак,83
07,222
три,251
центар,347
одговара,106
оди,374
24,222
модел,104
нејзин,76
евро,154
25,222
денес,132
секс,236
корисник,65
гледа,62
меѓу,259
the,75
направен,238
зошто,83
крај,186
08,222
претседател,343
затоа,83
можност,58
50,234
долг,197
празник,396
право,342
исто,103
06,222
име,121
09,222
боја,97
2012,379
2011,379
дојде,374
02,222
разлика,23
01,222
општина,254
програма,249
проект,77
држава,88
постои,41
фотографија,113
купува,0
000,34
збор,138
врска,259
каже,31
прашање,106
03,222
вистински,245
европски,316
cache,94
бог,258
почне,11
туку,205
храна,392
доколку,139
филм,263
accept,151
период,344
05,222
промена,387
низ,208
стар,248
активност,17
известува,49
врз,50
in,244
млад,189
секогаш,7
04,222
форма,201
нуди,35
момент,25
вест,132
40,222
средство,94
слика,188
26,222
најде,374
граѓанин,100
маж,236
група,59
facebook,180
новогодишен,307
натпревар,78
објавен,267
минута,271
e,293
мисли,51
твој,191
резултат,54
пара,154
значи,55
server,151
често,116
погледне,62
изгледа,62
договор,259
потоа,21
автор,98
возило,360
даде,374
tue,334
република,316
28,222
тек,344
таков,54
употреба,384
носи,372
недела,243
контакт,298
27,222
повторно,19
живее,76
над,274
акција,260
смета,301
јавен,267
kupikniga,0
интернет,65
дури,205
рака,309
однос,50
банка,154
развој,23
бренд,322
општ,94
телефон,170
податок,65
бел,97
услов,386
толку,205
годишен,307
пазар,322
каков,54
закон,342
рецепт,12
остане,374
Европа,198
to,255
различен,175
стави,21
следен,132
откако,285
ray,273
потреба,313
услуга,349
претставува,389
почеток,344
cf,273
одличен,175
бизнис,321
cloudflare,273
наоѓа,371
31,222
врати,70
причина,331
29,222
encoding,151
vary,151
nginx,273
dus,273
објави,267
of,75
кожа,272
САД,21
песна,323
заштита,327
долар,154
домашен,338
официјален,28
дом,279
дава,172
маркетинг,298
покаже,203
верзија,104
случај,138
барем,55
благодарение,398
вредност,358
станува,366
политички,119
превод,1
ниту,125
бебе,69
медиум,64
работен,5
заедно,367
агенција,240
влада,278
син,397
потврди,313
решение,257
барање,291
мобилен,170
ниво,346
очекува,72
сила,229
книга,211
100,34
no,293
главен,124
серија,143
успее,374
навистина,146
после,344
започне,11
ништо,125
јазик,206
ли,31
доаѓа,53
35,222
48,222
односно,367
категорија,143
home,244
организација,264
технологија,174
сдсм,278
лесно,6
тука,55
добива,127
Александар,210
одржи,340
меѓународен,193
on,81
powered,151
заев,278
моли,94
уред,275
сезона,382
s,268
никогаш,125
овозможува,71
translate,238
сепак,71
важен,130
простор,215
државен,342
преглед,266
остави,192
попуст,399
зборува,335
форум,390
пријател,195
мрежа,194
дело,157
победа,78
вид,296
Груевски,218
септември,390
болест,32
масло,250
брз,275
настан,371
коментар,92
помеѓу,259
